,id,AcceptedAnswerId,AnswerCount,Body,CommentCount,CreationDate,FavoriteCount,LastEditDate,LastEditorDisplayName,LastEditorUserId,OwnerUserId,ParentId,PostTypeId,Score,Tags,Title,ViewCount
0,134598,0,0,"""Demystifying the .NET Global Assembly Cache And of course Justice Grey's 'Grandmother' explanation... My grandmother and the Global Assembly Cache (and Star Wars)  (2011-08-10: link seems to be dead: try the wayback machine version) """,0.0,2020-09-25,0,2023-08-10,J Healy,7913.0,5946.0,134485,2,3.0,NULL,NULL,0.0
1,455786,0,0,Hashtable? Edit: An array is O(1) lookup because a[i] is just syntactic sugar for *(a+i). In other words to get O(1) you need either a direct pointer or an easily-calculated pointer to every element (along with a good-feeling that the memory you're about to lookup is for your program). In the absence of having a pointer to every element it's not likely to have an easily-calculated pointer (and know the memory is reserved for you) without contiguous memory. Of course it's plausible (if terrible) to have a Hashtable implementation where each lookup's memory address is simply *(a + hash(i)) Not being done in an array i.e. being dynamically created at the specified memory location if you have that sort of control.. the point is that the most efficient implementation is going to be an underlying array but it's certainly plausible to take hits elsewhere to do a WTF implementation that still gets you constant-time lookup. Edit2: My point is that an array relies on contiguous memory because it's syntactic sugar but a Hashtable chooses an array because it's the best implementation method not because it's required. Of course I must be reading the DailyWTF too much since I'm imagining overloading C++'s array-index operator to also do it without contiguous memory in the same fashion.. ,6.0,2021-01-18,0,2023-08-10,Bremen,271999.0,2072.0,455781,2,3.0,NULL,NULL,0.0
2,488092,0,0,According to the documentation for Groups.getMembers it isn't possible to get > 500 group members with an API call. Worse you seem to only be able to get 500 random members. You may want to consider using Facebook Connect with your site instead. I'm no expert on Connect but I believe you wont have this problem using it since you are actually writing Facebook-specific code -- seems like there would be no purpose in limiting results. That'd be the direction I'd look at least. Good luck. ,0.0,2021-01-28,0,2023-08-10,NULL,709202.0,210.0,323653,2,0.0,NULL,NULL,0.0
3,694226,694256,6,Are there some things I cannot do with ASP.NET MVC?  Things that are only possible with ASP.NET WebForms  or extremely much easier with WebForms? We consider using ASP.NET MVC for a new project.  But I wonder if there are some obvious things we will not be able to do with ASP.NET MVC when compared to WebForms or places where we will have to spend a lot of time with ASP.NET MVC. ,0.0,2021-03-29,4,2023-08-10,NULL,317773.0,41094.0,0,1,11.0,<asp.net><asp.net-mvc><webforms>,Things I cannot do in ASP.NET MVC,1749.0
4,795784,795807,2,Im facing some problems I looked around in the forum and didnt find any solutions discussed. Im sorry if these have been resolved earlier.  Is there someway I can make the VIM line break after 80 characters. I dont want the text to wrap around but create a new line. And I wish it would break off the complete last word. So instead of   fo in the previous and o in the next line can it break with foo in the next line? When I end my comment and press enter I get a # in the new line. This is cool but when I delete # and want to start a line of code I dont get syntax highlighting there. It still thinks what Im typing is a comment. Is this a bug or am I doing it wrong? One more thing is that I have set the shiftwidth to 4. But when I press Ctrl+S to save the document the cursor jumps to the beginning of the sentence. I then need to manually go back to my original position to begin the code. Is there a way I can resolve this?  Thank you for reading this. I am new to Ruby and Vim. I hope you guys help me out. ,3.0,2021-04-28,0,2023-08-10,NULL,38765.0,82368.0,0,1,-1.0,<ruby><vim>,Things I wish I could do in VIM while programming Ruby,1236.0
5,766141,766163,13,I was looking for a way to print a string backwards and after a quick search on google I found this method: Suppose 'a' is a string variable. This will return the 'a' string backwards: a[::-1]  Can anyone explain how that works? ,1.0,2021-04-19,8,2023-08-10,NULL,760767.0,27090.0,0,1,34.0,<python><string><slice>,reverse a string in Python,85678.0
6,800108,800119,2,I'm trying to make it so that a form submit doesn't cause the page to navigate and use ajaxSubmit to submit the content. however when I click the submit button it still navigates to the page in the action attribute of the form. Heres the javascript: var options = {     success: processLogin }; $('#loginform').submit(function() {     $(this).ajaxSubmit(options);     return false; });  and heres the form:    Room:    Nickname:       ,0.0,2021-04-28,1,2023-08-10,NULL,447356.0,2128.0,0,1,6.0,<jquery><forms>,Submit a form using jquery without navigating to another screen,2003.0
7,816588,0,1,Normally projects consist of a set of non-source code files like interface images (PSDs JPGs...). How can we managing these types of files with TFS and how graphic designers can check-in or out their image files to use them in applications like Photoshop? ,0.0,2021-05-03,0,2023-08-10,NULL,3619.0,34623.0,0,1,2.0,<version-control><tfs>,"How can we manage non-code files in TFS for designers, etc?",1290.0
8,819628,0,0,Try this: def convert( someList ):     for item in someList:         try:             yield int(item)         except ValueError:             yield item  newList= list( convert( oldList ) )  ,0.0,2021-05-04,0,2023-08-10,NULL,279627.0,10661.0,818949,2,5.0,NULL,NULL,0.0
9,821850,0,0,I found the way I had done it earlier finally. bool isWebApp = System.Web.HttpRuntime.AppDomainId != null;  It's much the same as Nathan's response though.  Thanks for the reply. ,0.0,2021-05-04,0,2023-08-10,NULL,19635.0,100930.0,820595,2,4.0,NULL,NULL,0.0
10,891602,0,1,I was developing an application of asp.net 2.0 in 32 bit machine but now I have 64 bit platform for the same application. I am not able to debug my code in 64 bit machine. Ny1 Plz help me  ,0.0,2021-05-21,0,2023-08-10,RanaMukesh,105971.0,0.0,0,1,0.0,<development-environment>,Changing Development environment of Asp.net 2.0 32 bit to 64 bit,529.0
